"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Win-Back's dialog shows its inactivity threshold, the email template is view-only (disabled input — content can never mismatch the program), and a cooldown change round-trips through save + reload.","6390","TC-202: edit dialog shows per-type fields, locks the template, and persists a change","dashboard","2026-07-20","passed","2026-07-20","Admin — Marketing automations","","",""
"Opening /deals/<id> auto-adds the deal to the cart and shows per-slot progress ('0 of 1 items added'); picking the slot item via 'Add to Deal' completes it ('Deal Complete!') and checkout offers the normal Proceed to Payment button.","3368","TC-195: the deal builder auto-adds the deal and completing its slot enables checkout","customer","2026-07-20","passed","2026-07-20","Customer — Deals","","",""
"Opening Edit on a coupon loads its current code/value into the form (read-only check — does not submit, since editing currently 500s server-side per TC-92).","16236","TC-162: Edit pre-fills the form with the coupon's existing values","dashboard","2026-07-20","failed","2026-07-20","Owner — Coupons","","",""
"Checking the balance of a code that doesn't exist shows 'Card not found or invalid code'.","2033","TC-170: balance check shows not-found for a nonexistent code","customer","2026-07-20","passed","2026-07-20","Customer — Gift Cards","","",""
"Setting an End Date earlier than the Start Date shows 'End date must be after start date' and does not create the coupon.","3896","TC-149: an end date before the start date is rejected","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"POST /menu/item/new with a made-up Bearer token is rejected with a 401 rather than a validation error.","71","TC-69: an authenticated endpoint rejects a garbage Bearer token","dashboard","2026-07-20","passed","2026-07-20","API — Negative cases","","",""
"A gift card funded below the order total covers only part of the charge — the customer still pays the remainder via Stripe, and the order completes normally.","10293","TC-178: a gift card that partially covers the order still requires Stripe payment for the remainder","customer","2026-07-20","passed","2026-07-20","Customer — Checkout gift card","","",""
"","1798","TC-57: admin can reach menu management","dashboard","2026-07-20","passed","2026-07-20","Access — Restaurant management (shared screens)","","",""
"Owner navigates to /setupStripe and the Payment Setup heading is visible.","2553","TC-46: setup page loads with Payment Setup heading","dashboard","2026-07-20","passed","2026-07-20","Owner — Payment Settings (Stripe Setup) > Setup page","","",""
"Navigating directly to /admin with no session redirects to /sign-in rather than rendering the admin dashboard.","2474","TC-72: an unauthenticated visitor hitting the admin dashboard is redirected to sign-in","dashboard","2026-07-20","passed","2026-07-20","Access — Unauthenticated","","",""
"","3769","TC-44: owner can delete a menu item","dashboard","2026-07-20","skipped","2026-07-20","Owner — Menu Management > Category and item CRUD","","",""
"","189","TC-124: a bogus invite token grants no elevated access","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Invite claim — defensive","","",""
"The create form has no client-side uniqueness check, so a second coupon with the same code reaches the API and is rejected there (backend enforces per-restaurant code uniqueness).","6139","TC-151: a duplicate coupon code on the same restaurant is rejected","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"Clicking Orders in the portal sidebar loads the orders tab with a search bar and table column headers.","3031","TC-29: owner can navigate to the Orders tab and see the orders search bar","dashboard","2026-07-20","passed","2026-07-20","Owner — Orders Tab","","",""
"Selecting the Free Delivery discount type hides the discount-value field (the fee waiver is computed at checkout), and the created coupon persists with type FREE_DELIVERY.","4560","TC-209: owner can create a Free Delivery coupon (no discount value)","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"","77","TC-77: toggling status of a nonexistent user id is rejected","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Settings tab — negative","","",""
"Owner clicks New Category, types a name, saves it, and verifies the new category tab appears.","6115","TC-20: owner can create a new menu category","dashboard","2026-07-20","passed","2026-07-20","Owner — Menu Management > Category and item CRUD","","",""
"Opening an order's detail dialog renders the line-items section and the money summary (Order Details + Order Total), not just the header block TC-90 asserted. Uses the beforeAll-seeded order.","3768","TC-134: the order detail dialog shows line items and the order total","dashboard","2026-07-20","passed","2026-07-20","Owner — Orders Tab","","",""
"POST /api/coupons/restaurant/:id without the required `code` field is rejected with a 4xx status.","268","TC-66: creating a coupon with no code is rejected","dashboard","2026-07-20","passed","2026-07-20","API — Negative cases","","",""
"","4409","TC-101: admin can invite a new user","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Invite dialog","","",""
"Confirming the delete dialog actually removes the row, verified via the DELETE response and a re-search. Uses its own throwaway seeded demo request (separate even from this file's main seeded row) so the delete doesn't disrupt the other tests.","3753","TC-98: admin can permanently delete a demo request","dashboard","2026-07-20","passed","2026-07-20","Admin — Demo Request Actions","","",""
"Customer clicks the seed menu item card, the item modal opens, and the Add to Cart button is visible.","3596","TC-23: customer can open the seed menu item modal and see Add to Cart button","customer","2026-07-20","passed","2026-07-20","Customer — Menu Browsing","","",""
"The Events sub-tab opens on the Upcoming filter; switching to Past never shows Upcoming-status rows (expired events no longer pollute the default view).","3129","TC-198: events list defaults to Upcoming and Past shows only finished events","dashboard","2026-07-20","passed","2026-07-20","Admin — Marketing campaign events","","",""
"Selecting Item Discount as the discount type requires and accepts a menu item selection.","6310","TC-146: owner can create a FIXED_ITEM coupon","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"","4374","TC-111: clicking a row opens the detail side sheet","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Detail side sheet","","",""
"Every automation exposes the same funnel the event campaigns report — pending/sent/failed/skipped/opened/clicked/redeemed/discountValueGiven — all numeric, so 'what worked' is always answerable.","320","TC-212: the stats endpoint returns the full campaign-grade funnel","dashboard","2026-07-20","passed","2026-07-20","Admin — Marketing automations","","",""
"The edit dialog offers Email and SMS channel switches; flipping SMS on reveals the SMS message editor. Dialog is cancelled — nothing persists.","4415","TC-213: SMS controls live in the edit dialog behind the channel toggle","dashboard","2026-07-20","passed","2026-07-20","Admin — Marketing automations","","",""
"","0","TC-183: every day defaults to Closed, and Open/24 Hours toggle the time pickers correctly","dashboard","2026-07-20","skipped","2026-07-20","Employee — Business Hours","","",""
"Filling the sign-up form and submitting redirects off /sign-up to the dashboard home. A fresh self-serve account is role USER (with only VIEW_RESTAURANT) — it does not become OWNER until the account creates a restaurant.","5649","TC-93: a visitor can register a new account","dashboard","2026-07-20","passed","2026-07-20","Public — Sign up","","",""
"Owner clicks 'Add [Category] Item', completes the 4-step wizard, and verifies the item appears on the menu page.","8297","TC-21: owner can add a menu item to a category","dashboard","2026-07-20","passed","2026-07-20","Owner — Menu Management > Category and item CRUD","","",""
"Owner expands the Deals flyout section in the sidebar and clicks Manage Deals, landing on ?tab=deals with the Manage Deals heading visible.","3404","TC-86: owner can reach the Manage Deals tab","dashboard","2026-07-20","passed","2026-07-20","Owner — Deals","","",""
"","3683","TC-106: cancel resets the invite form","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Invite dialog","","",""
"","3427","TC-42: owner can edit a menu category name","dashboard","2026-07-20","skipped","2026-07-20","Owner — Menu Management > Category and item CRUD","","",""
"Owner navigates to /restaurant/restaurantId/:id/subscription — this route is permission-gated (MODIFY_RESTAURANT), not role-gated, and the seed owner holds that permission.","2498","TC-84: owner can reach the Subscription Management page","dashboard","2026-07-20","passed","2026-07-20","Owner — Subscription & Billing","","",""
"Seed dedup regression: after renewals + container-restart seeds, each recurring holiday exists exactly once (the original bug re-created current-year duplicates pointing at expired coupons).","313","TC-199: recurring holiday events are never duplicated across years","dashboard","2026-07-20","passed","2026-07-20","Admin — Marketing campaign events","","",""
"Store Operations → Daily Report opens the current business day's live report: the 'At a Glance' comparison KPIs (Net Sales / Orders) render with no load error. Seeded orders in beforeAll guarantee the day has real data behind the numbers.","3214","TC-141: owner can open the Daily Report and see the current day's live report","dashboard","2026-07-20","passed","2026-07-20","Owner — Daily Report Tab","","",""
"","1","TC-28: owner can see publish checklist items on the publish page","dashboard","2026-07-20","skipped","2026-07-20","Owner — Publish Restaurant","","",""
"Typing a custom amount above the restaurant's configured maximum shows an inline error and does not advance to payment.","2252","TC-168: a custom amount above the maximum is rejected","customer","2026-07-20","passed","2026-07-20","Customer — Gift Cards","","",""
"Delete opens a typed-word confirmation dialog; confirming removes the coupon from both the table and the API.","6415","TC-160: owner can delete a coupon via the typed-confirmation dialog","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"A minSelections=1 group with no default: the group shows its Required pill and Add to Cart stays disabled; picking an option enables it.","2214","TC-189: a required modifier group blocks Add to Cart until a selection is made","customer","2026-07-20","passed","2026-07-20","Customer — Item Modifiers","","",""
"","0","TC-144: employee sees the required checklist on the publish page","dashboard","2026-07-20","skipped","2026-07-20","Employee — Publish menu","","",""
"Permissions are discovered at runtime: the test grants whatever the Add dialog currently offers, never a hardcoded permission name.","5834","TC-118: admin can add then remove a user-specific permission","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Permissions tab","","",""
"","1","TC-92: owner can edit an existing coupon's discount value","dashboard","2026-07-20","skipped","2026-07-20","Owner — Coupons","","",""
"Clicking Owner Settings in the sidebar loads the settings view: the title, both sub-tabs (Automated Reports / Notifications), and — once the settings fetch resolves — the Automated Business Reports section, its Schedule, and the Save Settings button. Read-only: no toggle is flipped and nothing is saved, so the shared QA owner account's real report config is untouched.","2897","TC-139: owner can open Owner Settings and see the Automated Reports form","dashboard","2026-07-20","passed","2026-07-20","Owner — Owner Settings Tab","","",""
"POST /restaurant/new with the seed OWNER's token is rejected — restaurant creation requires a permission this account doesn't hold, confirming the API enforces it (not just the UI).","333","TC-79: a restaurant owner without CREATE_RESTAURANT permission cannot self-serve create one","dashboard","2026-07-20","passed","2026-07-20","API — Negative cases","","",""
"Create an org coupon + recurring event via API, renew twice. Both calls must succeed — the second reuses/repairs the existing next-year coupon instead of failing with 'coupon already exists' (the original bug).","1001","TC-200: renewing an event coupon is idempotent (second renew succeeds as reuse)","dashboard","2026-07-20","passed","2026-07-20","Admin — Marketing campaign events","","",""
"Cart is injected via sessionStorage; customer navigates to /checkout and sees the customer info form.","1513","TC-24: customer with pre-seeded cart can reach checkout and see the form","customer","2026-07-20","passed","2026-07-20","Customer — Checkout","","",""
"MenuPage's landing-page deep link: /menu?restaurantId=<id>&item=<itemId> auto-opens the item modal (and scrolls to its group) once the menu loads — no card click needed.","2153","TC-184: the ?item= deep link auto-opens that item's modal","customer","2026-07-20","passed","2026-07-20","Customer — Menu Browsing","","",""
"Unauthenticated customer navigates to /menu?restaurantId=<id> and the page loads.","1073","TC-22: customer can reach the menu page for the seed restaurant","customer","2026-07-20","passed","2026-07-20","Customer — Menu Browsing","","",""
"With a $0.25 item (server-quoted total lands between $0.01 and $0.49), checkout disables the proceed button — label 'Minimum $0.50 Required' — and shows the explainer banner. No order is created.","2116","TC-188: a quoted total under Stripe's $0.50 minimum blocks payment","customer","2026-07-20","passed","2026-07-20","Customer — Checkout Stripe minimum","","",""
"","1","TC-27: owner can reach the publish page and see the Publish Restaurant button","dashboard","2026-07-20","skipped","2026-07-20","Owner — Publish Restaurant","","",""
"The row action menu's Send to Customers item is disabled once a coupon's computed status is Expired (only enabled while ACTIVE).","4111","TC-163: Send to Customers is disabled for an expired coupon","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"Using the pre-authenticated admin session from globalSetup, the admin should land on a page that is not /sign-in.","1727","TC-03: admin can reach the dashboard after login","dashboard","2026-07-20","passed","2026-07-20","Admin — Demo Management","","",""
"When the Stripe status API returns hasAccount: false the page renders the 'Set Up Stripe Account' button. Route-mocked so the test is independent of the QA account's real Stripe state.","2492","TC-49: owner without Stripe sees the Set Up Stripe Account button","dashboard","2026-07-20","passed","2026-07-20","Owner — Payment Settings (Stripe Setup) > Setup page — pre-connection state (mocked)","","",""
"Flipping the master switch persists Restaurant.lifecycleMarketingOptOut (verified via API); the test restores the original state.","3630","TC-207: the master switch pauses and resumes all automated marketing","dashboard","2026-07-20","passed","2026-07-20","Owner — Automated Marketing","","",""
"Clicking Filters actually opens the Filter Orders panel, not just a visible-but-inert button (TC-29 only asserted visibility, never exercised the click).","3295","TC-89: the Filters button opens the filter panel","dashboard","2026-07-20","passed","2026-07-20","Owner — Orders Tab","","",""
"Navigating directly to a restaurant's management URL with no session redirects to /sign-in instead of leaking restaurant data.","2064","TC-73: an unauthenticated visitor hitting a specific restaurant management page is redirected to sign-in","dashboard","2026-07-20","passed","2026-07-20","Access — Unauthenticated","","",""
"","2148","TC-56: owner can reach menu management","dashboard","2026-07-20","passed","2026-07-20","Access — Restaurant management (shared screens)","","",""
"When Stripe is not connected the page shows a 'What You'll Need' checklist with Personal Information, Business Details, Bank Account, and Payout Settings.","2726","TC-50: setup page shows the What You'll Need requirements section","dashboard","2026-07-20","passed","2026-07-20","Owner — Payment Settings (Stripe Setup) > Setup page — pre-connection state (mocked)","","",""
"A category that still contains items must not be deletable — the owner-facing menu editor hides the category 'Delete' button until the category is empty, preventing accidental bulk-deletion of its items. (Runs after TC-21, which leaves an item in the category.)","4382","TC-67: owner cannot delete a category that has items","dashboard","2026-07-20","passed","2026-07-20","Owner — Menu Management > Category and item CRUD","","",""
"Selecting the Notifications sub-tab shows the 'launching soon' placeholder — documenting that this surface is not yet functional, so no test should assert real notification settings there.","2760","TC-140: the Notifications sub-tab shows the coming-soon placeholder","dashboard","2026-07-20","passed","2026-07-20","Owner — Owner Settings Tab","","",""
"Filling password/confirmPassword with different values shows an inline 'Passwords must match' error on blur (client-side validation; submit is never attempted here).","2115","TC-95: a mismatched confirm-password blocks submission","dashboard","2026-07-20","passed","2026-07-20","Public — Sign up","","",""
"Searching for a code that doesn't exist shows the 'No coupons found' empty state.","3593","TC-155: Manage Coupons search with no matches shows the empty state","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"Owner clicks Edit Item on an existing menu item, updates name and price in the wizard, and verifies the success toast.","8987","TC-43: owner can edit a menu item name and price","dashboard","2026-07-20","passed","2026-07-20","Owner — Menu Management > Category and item CRUD","","",""
"The page shows a Delivery Configuration section describing the mode/provider/environment.","2504","TC-83: Uber Eats delivery settings page shows the delivery configuration section","dashboard","2026-07-20","passed","2026-07-20","Owner — Uber Eats Delivery Settings","","",""
"","463","TC-76: changing a user's role to an unknown value is rejected","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Settings tab — negative","","",""
"REPLACES_PRICE size group on a $10.00 item: the default Small ($8.00) prices the item at $8.00; switching to Large reprices to $12.00 — the base price is replaced, not adjusted.","2368","TC-193: a REPLACES_PRICE modifier overrides the base price","customer","2026-07-20","passed","2026-07-20","Customer — Item Modifiers","","",""
"A minOrderAmount coupon applies while two cart lines clear the minimum; removing one line triggers CouponSection's debounced revalidation, the backend 400s ('Order must be at least $X'), and the coupon is auto-removed with an explanatory error.","4871","TC-187: a coupon is auto-removed when the cart drops below its minimum order amount","customer","2026-07-20","passed","2026-07-20","Customer — Checkout coupon revalidation","","",""
"Choosing a status in the Filters panel and applying it fires the management fetch with the filter and closes the panel — exercising the filter end-to-end, beyond TC-89 which only opened it.","4279","TC-132: filtering by Order Status re-queries the orders grid","dashboard","2026-07-20","passed","2026-07-20","Owner — Orders Tab","","",""
"POST /api/coupons/restaurant/:id with a negative `value` is rejected with a 4xx status.","283","TC-68: creating a coupon with a negative discount value is rejected","dashboard","2026-07-20","passed","2026-07-20","API — Negative cases","","",""
"The customer coupon-redemption path (previously untested): applying the seeded percentage coupon at checkout shows the discount in the order summary; a bogus code is rejected with an error and no discount.","4140","TC-125: a valid coupon applied at checkout shows the discount, an invalid one is rejected","customer","2026-07-20","passed","2026-07-20","Customer — Checkout coupon & delivery","","",""
"A customer landing on /checkout without anything in the cart gets the 'Your Cart is Empty' screen instead of the checkout form.","1344","TC-185: /checkout with an empty cart shows the empty-cart message","customer","2026-07-20","passed","2026-07-20","Customer — Checkout","","",""
"FREE_DELIVERY is delivery-only: applying the code while the order is Pickup sends serviceType to validate and the backend rejects it with a delivery-only message — no discount, no $0.00 'saving'.","2167","TC-214: a free-delivery code is rejected on a pickup order","customer","2026-07-20","passed","2026-07-20","Customer — Free-delivery coupon","","",""
"Clicking Store Settings in the portal sidebar appends ?tab=Store%20Settings to the URL.","2957","TC-16: owner can navigate to Store Settings via the sidebar","dashboard","2026-07-20","passed","2026-07-20","Owner — Restaurant Management Portal","","",""
"POST /api/demo-requests with the email field omitted entirely is rejected with a 4xx status, bypassing the frontend's HTML5 required-field check.","79","TC-80: submitting a demo request with no email is rejected","dashboard","2026-07-20","passed","2026-07-20","API — Negative cases","","",""
"","5637","TC-109: role filter narrows the list","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > List, search & filter","","",""
"With the deal auto-added but its slot unfilled, the checkout proceed button is disabled and labeled 'Complete Deals to Continue'.","3107","TC-196: an incomplete deal blocks checkout with 'Complete Deals to Continue'","customer","2026-07-20","passed","2026-07-20","Customer — Deals","","",""
"","6","TC-181: admin can view and manage restaurant chains","dashboard","2026-07-20","skipped","2026-07-20","Admin — Chains","","",""
"Submitting the sign-up form with an email that already has an account shows an error banner and keeps the visitor on /sign-up.","6108","TC-94: registering with an already-used email is rejected","dashboard","2026-07-20","passed","2026-07-20","Public — Sign up","","",""
"Clicking 'Restaurant Dashboard' on the success page navigates to /restaurant/restaurantId/<id>/restaurantManagement.","2950","TC-52: clicking Restaurant Dashboard redirects to restaurant management","dashboard","2026-07-20","passed","2026-07-20","Owner — Payment Settings (Stripe Setup) > Success callback page","","",""
"","4606","TC-113: OWNER detail exposes all tabs incl. read-only Restaurants","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Detail side sheet","","",""
"After creating a coupon, it shows up as a row in the Manage Coupons list (a separate tab from Create Coupon, never visited by prior tests).","4549","TC-91: owner can see a created coupon in the Manage Coupons list","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"The Orders tab offers an Export action so owners can pull their orders out for reporting/accounting.","2966","TC-135: the Orders toolbar exposes an Export control","dashboard","2026-07-20","passed","2026-07-20","Owner — Orders Tab","","",""
"","3782","TC-107: search finds a user by email","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > List, search & filter","","",""
"Clicking Customers in the portal sidebar loads the customer directory: the sub-tabs (All Customers / Customer Groups), the search field, and the Total Customers stat are all present.","3641","TC-136: owner can open the Customers tab and see the directory","dashboard","2026-07-20","passed","2026-07-20","Owner — Customers Tab","","",""
"The safe half of the run-now contract: a disabled program returns 400 and creates zero sends. (Run-now on an enabled program sends real mail and is intentionally not automated.)","363","TC-205: run-now on a disabled automation is rejected without sending","dashboard","2026-07-20","passed","2026-07-20","Admin — Marketing automations","","",""
"Submitting an Item Discount coupon without picking a menu item is blocked and no coupon is created. Note: the app's own validateForm() has a menuItemId-required rule with a custom message, but it never gets a chance to run here — MUI's Select renders a hidden input[name=menuItemId][required] for native HTML5 form validation, and the browser's native 'Please fill out this field' constraint-validation UI intercepts the submit event before React's onSubmit fires (confirmed live: no POST /api/coupons request is ever sent).","4094","TC-147: FIXED_ITEM without a menu item selection is rejected","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"","0","TC-18: employee can set a tax rate and save — change persists","dashboard","2026-07-20","skipped","2026-07-20","Employee — Tax Settings","","",""
"Win-Back, Welcome, and VIP rows render with the explainer banner, the global caps fields, and the pace helper text (nobody-is-skipped copy).","4100","TC-201: automations tab lists the three seeded programs with intro and caps","dashboard","2026-07-20","passed","2026-07-20","Admin — Marketing automations","","",""
"The Manage Deals tab exposes a Create Deal button — navigation-only coverage for now; a full create-and-cleanup flow needs a deals API helper that doesn't exist yet.","3198","TC-87: Manage Deals tab shows the Create Deal action","dashboard","2026-07-20","passed","2026-07-20","Owner — Deals","","",""
"A maxSelections=2 checkbox group: after two selections the third, unchecked option is disabled (and un-checking frees it again).","2404","TC-191: maxSelections caps a multi-select group — remaining options disable at the cap","customer","2026-07-20","passed","2026-07-20","Customer — Item Modifiers","","",""
"When POST /api/stripe/account/restaurant/:id/create fails, the page shows an inline error alert and stays on /setupStripe instead of redirecting to Stripe.","2781","TC-78: a failed Stripe account-create call shows an error and does not redirect","dashboard","2026-07-20","passed","2026-07-20","Owner — Payment Settings (Stripe Setup) > Setup page — pre-connection state (mocked)","","",""
"Filling every field but leaving 'agree to terms' unchecked and clicking submit leaves the visitor on /demo with no success dialog (native validation blocks it).","4751","TC-74: submitting without agreeing to terms does not submit the form","dashboard","2026-07-20","passed","2026-07-20","Demo Request — Public Form","","",""
"Toggling one program row persists that enrollment only (verified via API — the other programs keep their state); restored afterwards.","3900","TC-208: a single program can be paused without touching the others","dashboard","2026-07-20","passed","2026-07-20","Owner — Automated Marketing","","",""
"A gift card frozen by an admin is rejected at checkout with a 'frozen' error.","2496","TC-175: a frozen gift card is rejected","customer","2026-07-20","passed","2026-07-20","Customer — Checkout gift card","","",""
"","114","TC-179: current-orders + status reject an unauthenticated caller","pos","2026-07-20","skipped","2026-07-20","POS — Order Lifecycle","","",""
"","2897","TC-54: OWNER is denied the publish route (EMPLOYEE/ADMIN only)","dashboard","2026-07-20","passed","2026-07-20","Access — Role restrictions","","",""
"","8485","TC-123: invited user claims access, and sees their access level","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Invite → claim → login journey","","",""
"Regression for the template lock: PATCHing templateId is silently ignored by the field allowlist, so a program can never be pointed at mismatched email content.","609","TC-204: templateId cannot be reassigned through the API (view-only lock)","dashboard","2026-07-20","passed","2026-07-20","Admin — Marketing automations","","",""
"The Orders DataGrid renders a real column set (Status is in view, plus several more) — not just a search bar (TC-29 only checked the search UI). Far-right columns (Payment, Subtotal) are column-virtualized out of the DOM at the default viewport, so we assert the in-view Status header plus a minimum header count rather than every label.","3363","TC-131: the orders grid shows the key column headers","dashboard","2026-07-20","passed","2026-07-20","Owner — Orders Tab","","",""
"Navigating directly to /restaurant/stores with no session redirects to /sign-in rather than rendering the dashboard.","2115","TC-71: an unauthenticated visitor hitting the owner restaurant list is redirected to sign-in","dashboard","2026-07-20","passed","2026-07-20","Access — Unauthenticated","","",""
"Admin navigates to Demo Management, searches by email, and verifies the row shows correct name, status NEW, and a creation timestamp.","3165","TC-04: admin can find the new demo request in Demo Management","dashboard","2026-07-20","passed","2026-07-20","Admin — Demo Management","","",""
"Changing the delivery order standard prep time and clicking Save changes PUTs the update and shows a success toast. The test restores the original value afterward so it doesn't leave the shared QA restaurant's data mutated.","3231","TC-88: owner can edit and save a Store Settings field","dashboard","2026-07-20","passed","2026-07-20","Owner — Restaurant Management Portal","","",""
"","4281","TC-06: admin can change demo status via inline dropdown","dashboard","2026-07-20","passed","2026-07-20","Admin — Demo Request Actions","","",""
"The one true end-to-end cart path: open the item modal, click Add to Cart, open the cart via the floating View Cart button, and click through to /checkout. Every other checkout test seeds the cart via sessionStorage for speed — this test is the safety net that the real add-to-cart wiring (and the cart storage schema seedCart mimics) actually works.","5430","TC-99: customer can add an item to the cart and reach checkout through the real UI flow","customer","2026-07-20","passed","2026-07-20","Customer — Menu Browsing","","",""
"Deterministic proof that the report aggregates real order data: after seeding 3 CONFIRMED orders at the seed item's real price, the current business day's KPIs (from GET /restaurant/:id/daily-close?include=report) have grown by at least the seeded order count and net-sales amount vs. the pre-seed baseline. Uses >= (not ==) because other specs may add orders to the same day concurrently — they only ever increase it.","323","TC-142: the seeded orders are reflected in today's Daily Report KPIs","dashboard","2026-07-20","passed","2026-07-20","Owner — Daily Report Tab","","",""
"Sending the pre-filled follow-up email flips demo status NEW -> CONTACTED and delivers a real email through the Mailpit sandbox (verified via waitForEmail, gated on MAILPIT_BASE_URL).","5323","TC-08: admin can send a follow-up email","dashboard","2026-07-20","passed","2026-07-20","Admin — Demo Request Actions","","",""
"Submitting a coupon with a discount value outside 1-100 shows a validation error and does not create the coupon.","3289","TC-63: an invalid discount percentage is rejected","dashboard","2026-07-20","passed","2026-07-20","Owner — Coupons","","",""
"","2796","TC-55: OWNER is denied the tax route (EMPLOYEE/ADMIN only)","dashboard","2026-07-20","passed","2026-07-20","Access — Role restrictions","","",""
"","3766","TC-102: invalid email shows an error and sends no request","dashboard","2026-07-20","passed","2026-07-20","Admin — User Management > Invite dialog","","",""
"The admin Restaurants tab loads a table with at least the seed restaurant visible.","3027","TC-32: admin can navigate to the Restaurants tab and see the list","dashboard","2026-07-20","passed","2026-07-20","Admin — Restaurant Management","","",""
"The subtitle tells the owner they can connect Stripe to accept payments.","2508","TC-48: setup page shows the header description","dashboard","2026-07-20","passed","2026-07-20","Owner — Payment Settings (Stripe Setup) > Setup page","","",""
